Bits,Matrix Size,Pipelining,Parallelism,Frequency,Slack,Slack,Comb Area,Buf Area,Non-Comb Area,Total Area,Dyn Power (uW),Leakage Power (uW)
8,12,0,12,2.40000000000000000000,MET,0.21,11603.5,583.338,17272.7,28876.2,8251.3000,550.637,
8,12,0,12,2.50000000000000000000,MET,0.31,11603.5,583.338,17272.7,28876.2,7921.2000,550.637,
8,12,1,1,.90000000000000000000,VIOLATED,-0.06,4382.08,276.906,7173.49,11555.6,11112.9000,241.78,
8,12,1,1,1.00000000000000000000,MET,0,4382.08,287.014,7170.83,11552.9,9968.7000,241.712,
8,12,1,1,.99000000000000000000,MET,0,4374.1,279.832,7174.02,11548.1,10099.000,241.352,
8,12,1,1,.98000000000000000000,VIOLATED,-0.01,4381.02,286.748,7174.02,11555,10191.7000,241.506,
8,12,1,1,1.10000000000000000000,MET,0,4368.25,289.94,7171.63,11539.9,9087.8000,240.946,
8,12,1,1,1.20000000000000000000,VIOLATED,-0.19,4425.18,297.92,7176.15,11601.3,8337.7000,241.865,
8,12,1,1,1.30000000000000000000,VIOLATED,-0.07,4445.66,309.89,7175.62,11621.3,7701.2000,242.192,
8,12,1,1,1.40000000000000000000,MET,0,4404.43,285.95,7174.29,11578.7,7143.7000,241.034,
8,12,1,1,1.50000000000000000000,MET,0,4344.05,273.714,7169.5,11513.5,6643.4000,239.334,
8,12,1,1,1.60000000000000000000,MET,0.01,4278.61,267.596,7166.31,11444.9,6207.5000,237.133,
8,12,1,1,1.70000000000000000000,MET,0,4247.75,261.744,7164.98,11412.7,5836.8000,236.036,
8,12,1,1,1.80000000000000000000,MET,0.01,4242.17,261.212,7164.98,11407.1,5511.6000,235.886,
8,12,1,12,.90000000000000000000,VIOLATED,-0.08,12952.6,1022.24,18342.8,31295.4,23991.000,624.691,
8,12,1,12,1.00000000000000000000,VIOLATED,-0.02,12827.3,1035.27,18347.3,31174.7,21567.4000,618.55,
8,12,1,12,1.10000000000000000000,MET,0,12985.1,1032.61,18331.4,31316.4,19631.7000,621.622,
8,12,1,12,1.09000000000000000000,VIOLATED,0,13008.2,1075.44,18338.3,31346.5,19816.2000,622.384,
8,12,1,12,1.20000000000000000000,VIOLATED,-0.19,13354.3,977.816,18363.6,31717.8,17998.2000,625.33,
8,12,1,12,1.30000000000000000000,VIOLATED,-0.11,13169.7,913.178,18374.5,31544.1,16597.000,621.947,
8,12,1,12,1.40000000000000000000,MET,0,13207.7,882.322,18334,31541.7,15407.7000,620.216,
8,12,1,12,1.50000000000000000000,MET,0,12470.9,665.532,18300.8,30771.7,14266.5000,597.378,
8,12,1,12,1.60000000000000000000,MET,0,12040.8,623.77,18260.4,30301.1,13308.3000,581.15,
8,12,1,12,1.70000000000000000000,MET,0,11762.8,604.618,18247.6,30010.4,12478.8000,572.058,
8,12,1,12,1.80000000000000000000,MET,0.01,11623.9,593.446,18249.5,29873.4,11772.3000,567.937,
8,12,1,12,1.90000000000000000000,MET,0.05,11601.6,580.678,18249.5,29851.1,11150.6000,566.975,
8,16,0,1,1.60000000000000000000,VIOLATED,-0.11,9019,384.37,11582.7,20601.7,11117.6000,427.486,
8,16,0,1,1.70000000000000000000,MET,0,9011.81,366.282,11579.2,20591.1,10463.7000,427.411,
8,16,0,1,1.69000000000000000000,MET,0,9021.39,370.538,11579,20600.4,10526.7000,427.478,
8,16,0,1,1.68000000000000000000,VIOLATED,-0.02,9019.26,378.784,11580.6,20599.8,10590.5000,427.33,
